angkatan,provinsi,provinsi_kode,n,disamarkan
2023,Papua Pegunungan,95,,True
2023,Papua Tengah,94,4.0,False
2023,Riau,14,24.0,False
2023,Sulawesi Selatan,73,8.0,False
2023,Sulawesi Tengah,72,,True
2023,Sulawesi Tenggara,74,3.0,False
2023,Sulawesi Utara,71,,True
2023,Sumatera Barat,13,14.0,False
2023,Sumatera Selatan,16,4.0,False
2023,Sumatera Utara,12,26.0,False
2023,Tidak teridentifikasi,UNKNOWN,4.0,False
2024,Aceh,11,,True
2024,Bali,51,9.0,False
2024,Banten,36,26.0,False
2024,Bengkulu,17,,True
2024,DKI Jakarta,31,79.0,False
2024,Daerah Istimewa Yogyakarta,34,136.0,False
2024,Jambi,15,5.0,False
2024,Jawa Barat,32,63.0,False
2024,Jawa Tengah,33,205.0,False
2024,Jawa Timur,35,58.0,False
2024,Kalimantan Barat,61,,True
2024,Kalimantan Selatan,63,3.0,False
2024,Kalimantan Tengah,62,,True
2024,Kalimantan Timur,64,11.0,False
2024,Kepulauan Bangka Belitung,19,4.0,False
2024,Kepulauan Riau,21,6.0,False
2024,Lampung,18,10.0,False
2024,Luar Negeri,LN,5.0,False
2024,Nusa Tenggara Barat,52,7.0,False
2024,Nusa Tenggara Timur,53,,True
2024,Papua Barat,92,,True
2024,Papua Selatan,93,,True
2024,Papua Tengah,94,3.0,False
2024,Riau,14,21.0,False
2024,Sulawesi Selatan,73,3.0,False
2024,Sulawesi Tengah,72,,True
2024,Sulawesi Tenggara,74,,True
2024,Sumatera Barat,13,14.0,False
2024,Sumatera Selatan,16,9.0,False
2024,Sumatera Utara,12,29.0,False
2024,Tidak teridentifikasi,UNKNOWN,8.0,False
2025,Bali,51,9.0,False
2025,Banten,36,25.0,False
2025,Bengkulu,17,,True
2025,DKI Jakarta,31,85.0,False
2025,Daerah Istimewa Yogyakarta,34,189.0,False
2025,Jambi,15,,True
2025,Jawa Barat,32,77.0,False
2025,Jawa Tengah,33,238.0,False
2025,Jawa Timur,35,76.0,False
2025,Kalimantan Barat,61,6.0,False
2025,Kalimantan Selatan,63,,True
2025,Kalimantan Tengah,62,,True
2025,Kalimantan Timur,64,13.0,False
2025,Kalimantan Utara,65,3.0,False
2025,Kepulauan Bangka Belitung,19,,True
2025,Kepulauan Riau,21,8.0,False
2025,Lampung,18,15.0,False
2025,Luar Negeri,LN,13.0,False
2025,Maluku,81,,True
2025,Maluku Utara,82,,True
2025,Nusa Tenggara Barat,52,8.0,False
2025,Nusa Tenggara Timur,53,,True
2025,Papua Barat,92,,True
2025,Riau,14,9.0,False
2025,Sulawesi Selatan,73,9.0,False
2025,Sulawesi Tengah,72,,True
2025,Sulawesi Tenggara,74,,True
2025,Sumatera Barat,13,16.0,False
2025,Sumatera Selatan,16,3.0,False
2025,Sumatera Utara,12,22.0,False
2025,Tidak teridentifikasi,UNKNOWN,4.0,False
2026,Aceh,11,,True
2026,Bali,51,7.0,False
2026,Banten,36,31.0,False
2026,Bengkulu,17,4.0,False
2026,DKI Jakarta,31,102.0,False
2026,Daerah Istimewa Yogyakarta,34,171.0,False
2026,Jambi,15,3.0,False
2026,Jawa Barat,32,103.0,False
2026,Jawa Tengah,33,228.0,False
2026,Jawa Timur,35,82.0,False
2026,Kalimantan Barat,61,5.0,False
2026,Kalimantan Selatan,63,6.0,False
2026,Kalimantan Tengah,62,,True
2026,Kalimantan Timur,64,10.0,False
2026,Kalimantan Utara,65,,True
2026,Kepulauan Bangka Belitung,19,,True
2026,Kepulauan Riau,21,6.0,False
2026,Lampung,18,12.0,False
2026,Luar Negeri,LN,7.0,False
2026,Maluku,81,,True
2026,Nusa Tenggara Barat,52,,True
2026,Nusa Tenggara Timur,53,,True
2026,Papua,91,,True
2026,Papua Barat,92,,True
2026,Papua Selatan,93,,True
2026,Riau,14,15.0,False
2026,Sulawesi Selatan,73,5.0,False
2026,Sulawesi Tenggara,74,,True
2026,Sulawesi Utara,71,3.0,False
2026,Sumatera Barat,13,18.0,False
2026,Sumatera Selatan,16,6.0,False
2026,Sumatera Utara,12,17.0,False
2026,Tidak teridentifikasi,UNKNOWN,8.0,False
